ABERDEEN: VIA FIRENZE, 48: 2:41.9025257:12.4940037
A ROMA SAN PIETRO BEST BED: VIA CRESCENZIO, 85: 2:41.90587:12.46146
A T: PIAZZA BARBERINI, 2: 2:41.9035981:12.4881312
A TRASTEVERE DA ME: PIAZZA SIDNEY SONNINO, 25: 3:41.8889652:12.4743152
A VIEW OF ROME: PIAZZA DEL RISORGIMENTO, 14: 2:41.9066542:12.457103
A VINICIUS ET MITA: VIA PISTOIA, 21: 3:41.8840889:12.5194631
A 100 METRI DAL VATICANO: VIALE GIULIO CESARE, 151: 3:41.9093773:12.4582014
AB HOUSE: VIA SOLFERINO, 9: 2:41.9036147:12.5013736
ABC: VIA FAMAGOSTA, 4: 3:41.9102178:12.4575142
A&C MUCH MORE: VIA PALESTRO, 49: 3:41.9047747:12.504327
ACANTO: VIA MARCO VALERIO CORVO, 137: 2:41.8562682:12.5607266
ACANTO ONE: VIA TUSCOLANA, 1220: 2:41.8569241:12.5616648
ACANTO ROOMSUITE: VIA TUSCOLANA, 875: 2:41.8576956:12.5613593
A.D.: VIALE OPITA OPPIO, 76: 2:41.8608598:12.5499391
ADA ROOMS: VIA COLA DI RIENZO, 163: 3:41.9079003:12.4647564
ADORA SUITE: VIA FILIPPO TURATI, 28: 3:41.898916:12.5015848
ADRIANA E FELICE: VIA CARLO ALBERTO, 13: 2:41.89697:12.49994
AELIUS: VIA VOLTURNO, 7: 2:41.9051851:12.4988061
AENEA INN: VIA URBANA, 156: 1:41.8979019:12.4955662
AESSE: VIA DEL PORTO FLUVIALE, 35: 3:41.87236:12.47653
AFFITTACAMERE BIGIO: VIA ARCHIMEDE, 144: 3:41.9268977:12.4796903
AFFITTACAMERE CAPPELLINI: VIA ALFREDO CAPPELLINI, 29: 3:41.8972393:12.5046872
AFFITTACAMERE FLAVIA: VIA SALVATORE GASBARRA, 32: 3:41.7758944:12.3358543
AFFITTACAMERE RE DI ROMA: PIAZZA DEI RE DI ROMA, 57: 3:41.882427:12.5146474
AFFITTACAMERE VILLA DRUSILLA: VIA DELLA VILLA DI LIVIA, 122: 3:42.0018899:12.4919769
AFFRESCHI SU ROMA: VIA GIUSEPPE ZANARDELLI, 7: 3:41.9012237:12.4723093
AGER VATICANUS: PIAZZA S. MARIA DELLE GRAZIE, 3: 2:41.9069437:12.4496192
AI MUSEI VATICANI BED BEST: VIA CIPRO, 56: 2:41.9067418:12.446056
AI SENATORI: VIA CAIO MARIO, 8: 3:41.90823:12.46089
AIDA CHARMING ROOMS: VIALE DEI COLLI PORTUENSI, 226: 3:41.8693879:12.4432612
AIRIM: VIA PALESTRO, 15: 2:41.9071367:12.5016234
AL BORGO 64: BORGO PIO, 64: 2:41.90365:12.46264
AL CASALE DEL VEIO: VIA POMPONESCO, 1a-1b: 3:42.03764:12.46818
AL CENTRO STORICO DI ROMA: VIA MERULANA, 117: 3:41.8903455:12.5030145
AL GIARDINO DELLE TARTARUGHE: VIA DANTE DE BLASI, 31: 2:41.8601821:12.4450932
AL GRAN VELIERO: VIA PRINCIPE UMBERTO, 59: 3:41.8942791:12.5097284
AL PANTHEON CON THOMAS MANN: VIA DEL PANTHEON, 57: 3:41.8991015:12.4762258
AL PASSETTO - ST PETER'S BIKE: VIA ALBERICO II, 19: 3:41.9048327:12.463083
AL PIGNETO LUXURY ROOMS: VIA PRENESTINA, 82: 3:41.8909236:12.5246415
AL RELAIS: VIA PALERMO, 36: 3:41.8995204:12.4929951
AL VIMINALE RELAIS: VIA DEL VIMINALE, 38: 3:41.9002489:12.4959438
AL 121: VIA RAFFAELE BATTISTINI, 121: 3:41.8631086:12.4468813
AL 126 DI SAN LORENZO: VIA TIBURTINA, 126: 2:41.8985029:12.5147325
AL 138 TOWN HOUSE: VIALE DI TRASTEVERE, 138: 3:41.8821068:12.4678775
AL 28 ROOM MATE: VIA FLAVIO STILICONE, 28: 3:41.86142:12.55638
AL 38 VIMINALE STREET: VIA DEL VIMINALE, 38: 2:41.9002489:12.4959438
ALADINO INN: VIA CARLO EMANUELE I, 22: 3:41.89018:12.51085
ALANGA' INN: VIA MUZIO CLEMENTI, 9: 3:41.9055093:12.4721943
ALANOVA: VIA CAVOUR, 310: 1:41.8934816:12.4888467
ALBA DOMUS: CIRCONVALLAZIONE NOMENTANA, 488: 2:41.9122682:12.5279915
ALBATROS: VIA CARLO ALBERTO, 13: 3:41.89697:12.49994
ALBRIST: VIALE OPITA OPPIO, 76: 2:41.8608598:12.5499391
ALE ROOM: VIA CATONE, 21: 3:41.9073948:12.459069
ALESSANDRA ROOMS: VIA CARLO CATTANEO, 23: 3:41.897537:12.5016198
ALESSANDRO A SAN PIETRO BEST BED: VIA SILVIO PELLICO, 44: 3:41.9132585:12.459416
ALESSANDRO E CALLIOPE: VIA PELAGIO I, 12/14: 2:41.89819:12.4570273
ALEX: PIAZZA DEL PIGNETO, 15: 2:41.8900038:12.5231244
ALEX: VIA ANTONIO BAIAMONTI, 2: 3:41.9146131:12.4598563
ALEX E CRIS: VIA GIORDANO BRUNO, 47: 3:41.9112492:12.4525221
ALEX E DAPHNE: VIA DEGLI AVIGNONESI, 20: 3:41.90302:12.4874
ALEX E SERGIO HOUSE: VIA MILAZZO, 23: 2:41.9023932:12.5051939
ALEX INN: VIA EMILIA, 47: 1:41.907566:12.4886725
ALEX PLACE: VIALE CASTRO PRETORIO, 25: 3:41.903411:12.5071337
ALFREDO: VIA NAPOLEONE III, 48: 3:41.896787:12.5022416
ALIBERT SUITE: VIA MARGUTTA, 61: 2:41.9073967:12.4808336
ALICE'S HOUSE THE KING: VIALE MANZONI, 26: 3:41.8898261:12.5045174
ALL COMFORT ASTORIA ROOMS: VIA GIOVANNI MARIA LANCISI, 31: 3:41.9089807:12.5106977
ALL SEASONS: VIALE MANZONI, 81: 2:41.8940561:12.5101239
ALLA BASILICA ROOMS: VIALE CARLO FELICE, 77: 3:41.8874415:12.5113974
ALLE BASILICHE DI ROMA: VIA DELLO STATUTO, 44: 3:41.8948519:12.5013053
ALL'OROLOGIO GUEST HOUSE: VIA DEI BANCHI NUOVI, 47: 3:41.8993944:12.4676487
ALMA DE ROMA: VIA GAETA, 64: 3:41.9044883:12.5004919
ALMES GARDEN: VIA VITTORIO ARMINJON, 5: 2:41.911128:12.4555949
ALMES ROMA: VIA AUGUSTO AUBRY, 3: 3:41.9150993:12.4542923
ALMI ROOMS: VIA DELL'ASSUNZIONE, 11: 2:41.9133957:12.4150647
ALOHA ROMA: VIA PRINCIPE EUGENIO, 15: 3:41.8940408:12.5067446
ALOHA ROMA: VIA PRINCIPE EUGENIO, 15: 3:41.8940408:12.5067446
ALPHABET HOUSE: VIA PRINCIPE EUGENIO, 51: 3:41.8937338:12.5079875
AMARANTO ROMANO: VIA NAZIONALE, 243: 3:41.9013938:12.4941845
AMARI 90: VIA DELLA MADONNA DEL RIPOSO, 90/A: 2:41.8961595:12.4304946
AMBROSIA: VIA CARLO CATTANEO, 23: 3:41.897537:12.5016198
AMICUS ROMAE: VIA QUINTILIO VARO, 33: 3:41.8541726:12.5643568
AMMIRAGLI: VIALE DEGLI AMMIRAGLI, 67: 2:41.9055676:12.444379
AMOR: VIALE GIULIO CESARE, 183: 3:41.90914:12.45714
AMOR DI AB ENTERPRISE: VIALE GIULIO CESARE, 183: 3:41.90914:12.45714
AMY'S HOUSE: VIA PRINCIPE AMEDEO, 85/A: 2:41.8982061:12.5012212
ANAKIN: VIA PALESTRO, 87: 2:41.9034119:12.5060695
ANASTASIO 416 ROOMS: VIA ANASTASIO II, 416: 3:41.9046259:12.4443107
ANCIENT ROME: VIA NAZIONALE, 230: 2:41.90084:12.49343
ANDROMEDA: VIA COLLINA, 48: 2:41.90877:12.49722
ANDY E LU: VIA CASTELFIDARDO, 31: 3:41.9064508:12.5007535
ANGEL HOUSE: VIA GENOVA, 24: 2:41.8992119:12.4922458
ANGELA DI ROMA: PIAZZA VITTORIO EMANUELE II, 55: 3:41.8947132:12.5060419
ANGELI DI MATILDE: VIA MUZIO ATTENDOLO, 26: 3:41.8917582:12.5352739
ANGELICA: VIA DEI MILLE, 41/A: 2:41.9018456:12.5055207
ANGELINA DIMORA CONTEMPORANEA: VIA CICERONE, 28: 3:41.9063678:12.4690075
ANGELINI BED ROOMS: VIA CAVOUR, 124: 3:41.8969227:12.4958183
ANGELS IN ROME: VIA PO, 39: 3:41.9169309:12.498171
AnnaB: VIA CERNAIA, 15: 2:41.9057075:12.4991941
ANTICA DIMORA CONTESSA ARRIVABENE: VIALE TITO LIVIO, 28: 3:41.9156798:12.4445099
ANTICA DIMORA DE MICHAELIS: VIA DEI CORONARI, 14: 3:41.9004706:12.4715616
ANTICA DIMORA DELL'ORSO: VICOLO DELL'ORSO, 55: 3:41.9020447:12.4741914
ANTICA DIMORA HORTI LUCULLIANI: VIA DEL CORSO, 36: 3:41.907814:12.4775802
ANTICA DIMORA HORTI LUCULLIANI: VIA DEL CORSO, 36: 3:41.907814:12.4775802
ANTICA FONTANA DI TRAIANO: VIA NAZIONALE, 172: 3:41.8971596:12.4876185
ANTICA RESIDENZA C: VIA DELL'ARCO DELLA CIAMBELLA, 19: 3:41.8968455:12.4769666
ANTICO CONDOTTI: VIA DELLE CARROZZE, 42: 2:41.9056405:12.479928
ANTONIETTA: VIA CASTELFIDARDO, 68: 2:41.9053715:12.5024221
ANTONIO ROOMS: PIAZZA DELL'UNITA', 13: 2:41.8723889:12.4801802
APIA SUITE: VIA BOCCA DI LEONE, 25: 3:41.906876:12.4796348
APOLLO ROOMS: VIA LEONINA, 11: 3:41.8947331:12.4914225
APOLLO SUITE: VIA DEI SERPENTI, 111: 2:41.8966569:12.4902299
APPARTAMENTO MODIGLIANI: VIA DELLA PURIFICAZIONE, 61: 2:41.9050549:12.4868709
APPIA AVENUE 639: VIA APPIA NUOVA, 639: 3:41.867048:12.5307636
APPIA NUOVA: VIA APPIA NUOVA, 555: 2:41.8704568:12.5285572
APPLEMOON: VIALE GIULIO CESARE, 78: 3:41.9094343:12.4571654
APR GUEST HOUSE: VIA DI S. COSTANZA, 2: 2:41.9229504:12.5131865
APULEIUS: VIA DELLE SALINE, 67: 3:41.7630958:12.3007751
ARA PACIS HOLIDAYS INN: VIA MUZIO CLEMENTI, 9: 3:41.9055093:12.4721943
ARANCINO: VIA MONTEFORTE IRPINO, 12: 3:41.8912629:12.5516062
ARCO DELLA CIAMBELLA: VIA DELL'ARCO DELLA CIAMBELLA, 19: 3:41.8968455:12.4769666
ARCO ROMANO ROOMS: VIA GERMANO SOMMEILLER, 12: 2:41.8900182:12.5137145
ARENA HOUSE: VIA MARCO AURELIO, 37: 2:41.8880798:12.4955615
ARGILETO VERDE: VIA DELLA MADONNA DEI MONTI, 108: 3:41.8938685:12.4880457
ARIA ROME ROOMS: VIA DOMENICO FONTANA, 12: 2:41.8877419:12.506645
ARIES: VIA VENTI SETTEMBRE, 58/A: 2:41.907478:12.4985541
ARIOSTO: VIA ARIOSTO, 24: 3:41.8901777:12.5043418
ARRE: VIA DI TORRE ARGENTINA, 47: 1:41.89542:12.47638
ART AND RELAX SUITES: VIA GIOVANNI GIOLITTI, 137: 2:41.8991172:12.5025562
ART IN ACCOMODATION: VIA FERRUCCIO, 46: 2:41.8927567:12.5041907
ART MARY: VIA MILAZZO, 3: 3:41.9017639:12.5041036
ARTEMISIA GUEST HOUSE: VIA DEI LUCCHESI, 29: 3:41.8997173:12.4840074
ARTHUR HOSTEL: VIA GIOVANNI GIOLITTI, 213: 3:41.897675:12.5048521
ARTS & ROOMS: VIA GERMANICO, 54: 3:41.9077146:12.4573765
ASIAN REST HOUSE: VIA AVELLINO, 13: 3:41.8877405:12.5259721
ASIAN REST HOUSE: VIA AVELLINO, 13: 3:41.8877405:12.5259721
ASTRO: VIA NAPOLEONE III, 58: 2:41.89653:12.5025
AT FORTY-ONE: VIA TORINO, 41: 2:41.9031636:12.4944
AT HOME - TOWN HOUSE: VIA CASTELFIDARDO, 50: 3:41.9066014:12.5009598
AT HOME TOWNHOUSE FILIBERTO: VIA EMANUELE FILIBERTO, 109: 2:41.8917332:12.5058914
AT HOME TOWNHOUSE FILIBERTO: VIA EMANUELE FILIBERTO, 109: 2:41.8917332:12.5058914
AT ROME ST. PETER'S AFFITTACAMERE: VIALE GIULIO CESARE, 109: 3:41.9097575:12.4596709
ATELIER: VIALE VENTUNO APRILE, 93: 3:41.9144968:12.5204611
ATESIA: VIA FERRUCCIO, 44: 2:41.8928681:12.5039663
ATLANTIS INN ROMA: VIA MUZIO CLEMENTI, 9: 3:41.9055093:12.4721943
ATTICO DEI PINI: VIA NOVACELLA, 18: 3:41.8491312:12.4771951
ATTILIO REGOLO: VIA ATTILIO REGOLO, 12/D: 3:41.9085614:12.4648185
AUGUSTANA HOUSE: LUNGOTEVERE MARZIO, 3: 2:41.9041383:12.4747968
AUGUSTO IMPERATORE ROOMS: VIA DI RIPETTA, 70: 3:41.9070662:12.4758821
AUGUSTUS: VIA PIAVE, 61: 2:41.9103237:12.4982422
AURELIA GARDEN: VIA AURELIA, 386: 3:41.8977572:12.4312615
AURELIA GARDEN ROOMS: VIA PAOLO III, 10: 3:41.8996588:12.4454316
AURELIA PALACE: VIA GIOVANNI PACCHIONI, 31: 2:41.8817796:12.383721
AURELIA VATICAN APARTMENTS: VIA DEI LATERIZI, 20: 3:41.9090298:12.4351259
AURELIA 429 FINE TOWN HOUSE: VIA AURELIA, 429: 3:41.8979795:12.4305002
AURELIO SUITES GARDEN: VIA DEL TEATRO PACE, 28: 3:41.8983535:12.4716173
AURELIO SUITES GARDEN: VIA DEL TEATRO PACE, 28: 3:41.8983535:12.4716173
AVE DI MUHAMMAD SAJID: VIA LORENZO IL MAGNIFICO, 61: 3:41.91204:12.5254
AVE DI MUHAMMAD SAJID: VIA LORENZO IL MAGNIFICO, 61: 3:41.91204:12.5254
AVE DOMUS CRISTINA: VIA DI ACQUA BULLICANTE, 217: 3:41.8858935:12.5432695
AVE POPOLO: PIAZZA VITTORIO EMANUELE II, 35: 3:41.89528:12.50466
AVE ROMA: LUNGOTEVERE TOR DI NONA, 3: 2:41.9016976:12.4706336
AVENTINO GUEST HOUSE - AGH: VIALE AVENTINO, 98: 3:41.8814096:12.4849858
AZZURRA ROOMS: VIA DEL PELLEGRINO, 86: 3:41.8970809:12.4700887
AZZURRO SAN PIETRO: VIA VITTORIO ARMINJON, 5: 3:41.911128:12.4555949
BABNJAM: VIA BIXIO, 41: 3:41.8940509:12.5090817
BABUINO 127 ROOMS: VIA DEL BABUINO, 127: 3:41.9070005:12.4806616
BABUINO 181 RELAIS: VIA DEL BABUINO, 181: 2:41.9092902:12.4779425
BACIDAROMA: VIA DI PORTA MAGGIORE, 23: 1:41.893047:12.5106922
BAGHIROVA IN ROME: VIA DEL TEATRO VALLE, 53B: 3:41.8972862:12.4751308
BALTHAZAR: VIA DI VILLA PEPOLI, 9: 2:41.8781272:12.4897181
BANCHI VECCHI STAY: VIA DEI BANCHI VECCHI, 117: 3:41.8985305:12.4667884
BAROCCO APARTMENTS: VIA DELLA PURIFICAZIONE, 8: 2:41.9040504:12.4879606
BASILICA SQUARE: PIAZZA DI S. GIOVANNI IN LATERANO, 26: 3:41.8898826:12.4949216
BAYLON SUITES: VIA LUCIANO MANARA, 4: 3:41.8878768:12.4711111
B-COOL ROME: VIA FAMAGOSTA, 4: 3:41.9102178:12.4575142
B-COOL ROME: VIA FAMAGOSTA, 4: 3:41.9102178:12.4575142
BDB LUXURY ROOMS NAVONA: VIA DELLA VETRINA, 24: 2:41.8998821:12.4700267
BDB LUXURY ROOMS NAVONA CELIO: VIA DELLA VETRINA, 5: 2:41.9001713:12.4698183
BDB LUXURY ROOMS SAN PIETRO: CIRCONVALLAZIONE CLODIA, 169: 3:41.9215287:12.4576585
BDB LUXURY ROOMS SPAGNA: VIA FRANCESCO CRISPI, 79: 3:41.9051328:12.4857941
BDB LUXURY ROOMS TRASTEVERE: VIA DELLA PAGLIA, 7: 2:41.8898118:12.4696137
BE MY GUEST: VIA APPIA NUOVA, 59: 3:41.8843064:12.5114739
BEAR 87: VICOLO DELL'ORSO, 88: 3:41.9018349:12.4742196
BEAU-SITE: VIA LUDOVISI, 45: 1:41.9069911:12.4880088
BEAUTIFUL HOLIDAYS: VIA MILAZZO, 14: 3:41.90183:12.50416
BEAUTY ROOMS: VIA NAPOLEONE III, 35: 3:41.8967523:12.5016542
BEAUTY ROOMS: VIA NAPOLEONE III, 35: 3:41.8967523:12.5016542
BED A SAN PIETRO: VIA GREGORIO VII, 466: 3:41.8941252:12.4327025
BEDROOMS IN ROME DI FRANCESCO CHIOFALO: VIA GIOVANNI STEFANO ROCCATAGLIATA, 4: 3:41.8749345:12.4515915
BELFIORE ROOMS: VIA DEGLI SCIPIONI, 239: 1:41.9104935:12.4656691
BELLESUITE: VIA MODENA, 5: 2:41.902426:12.4946417
BELSIANA HOUSE: VIA BELSIANA, 20: 1:41.905625:12.4794019
BELVEDERE TERMINI: VIA RATTAZZI, 65: 3:41.8982237:12.5040674
BENE HOUSE: VIA PRINCIPE EUGENIO, 32: 3:41.8941849:12.5070743
